,author_ID,Type,Company,Line of Code,n_files,task_type
116,384.0,volunteer,volunteer,1.0,1.0,perfective
117,387.0,paid,microsoft,103.0,29.0,corrective
118,387.0,paid,microsoft,37.0,5.0,features
119,390.0,volunteer,volunteer,3.0,1.0,perfective
120,390.0,volunteer,volunteer,9.0,1.0,perfective
121,392.0,volunteer,volunteer,2.0,1.0,perfective
122,393.0,volunteer,volunteer,2.0,1.0,features
123,393.0,volunteer,volunteer,2.0,1.0,perfective
124,394.0,volunteer,volunteer,30.0,3.0,perfective
125,395.0,volunteer,volunteer,48.0,2.0,features
126,402.0,volunteer,volunteer,25.0,1.0,perfective
127,402.0,volunteer,volunteer,26.0,1.0,features
128,403.0,volunteer,volunteer,4.0,1.0,perfective
129,403.0,volunteer,volunteer,1.0,1.0,features
130,410.0,volunteer,volunteer,61.0,3.0,perfective
131,411.0,volunteer,volunteer,12.0,4.0,features
132,413.0,volunteer,volunteer,12.0,1.0,perfective
133,415.0,volunteer,volunteer,1.0,1.0,features
134,418.0,volunteer,volunteer,6.0,1.0,corrective
135,425.0,volunteer,volunteer,2.0,1.0,perfective
136,425.0,volunteer,volunteer,46.0,2.0,perfective
137,427.0,volunteer,volunteer,4.0,1.0,perfective
138,430.0,volunteer,volunteer,125.0,29.0,features
139,433.0,volunteer,volunteer,21.0,1.0,corrective
140,434.0,volunteer,volunteer,43.0,1.0,perfective
141,434.0,volunteer,volunteer,33.0,1.0,corrective
142,436.0,volunteer,volunteer,2.0,1.0,perfective
143,439.0,volunteer,volunteer,4.0,2.0,perfective
144,440.0,volunteer,volunteer,30.0,4.0,corrective
145,440.0,volunteer,volunteer,85.0,7.0,features
146,443.0,volunteer,volunteer,4.0,1.0,corrective
147,443.0,volunteer,volunteer,2.0,1.0,features
148,451.0,volunteer,volunteer,23.0,3.0,perfective
149,453.0,volunteer,volunteer,101.0,6.0,features
150,460.0,paid,amazon,30.0,2.0,perfective
151,463.0,volunteer,volunteer,8.0,2.0,features
152,463.0,volunteer,volunteer,17.0,1.0,features
153,465.0,volunteer,volunteer,1.0,1.0,corrective
154,467.0,volunteer,volunteer,2.0,1.0,perfective
155,474.0,volunteer,volunteer,1.0,1.0,perfective
156,477.0,volunteer,volunteer,2.0,1.0,perfective
157,478.0,volunteer,volunteer,3.0,1.0,features
158,478.0,volunteer,volunteer,1.0,1.0,perfective
159,480.0,volunteer,volunteer,12.0,2.0,nonfunctional
160,482.0,volunteer,volunteer,2.0,1.0,perfective
161,484.0,volunteer,volunteer,98.0,43.0,corrective
162,486.0,volunteer,volunteer,12.0,2.0,corrective
163,486.0,volunteer,volunteer,2.0,1.0,perfective
164,489.0,volunteer,volunteer,2.0,1.0,corrective
165,493.0,volunteer,volunteer,5.0,1.0,perfective
166,494.0,volunteer,volunteer,32.0,1.0,perfective
167,494.0,volunteer,volunteer,32.0,1.0,perfective
168,497.0,volunteer,volunteer,2.0,1.0,perfective
169,498.0,volunteer,volunteer,8.0,2.0,corrective
170,502.0,volunteer,volunteer,2.0,1.0,perfective
171,502.0,volunteer,volunteer,6.0,1.0,perfective
172,503.0,volunteer,volunteer,24.0,9.0,perfective
173,503.0,volunteer,volunteer,8.0,4.0,perfective
174,507.0,volunteer,volunteer,1.0,1.0,features
175,508.0,volunteer,volunteer,69.0,9.0,features
176,514.0,volunteer,volunteer,26.0,2.0,features
177,514.0,volunteer,volunteer,8.0,1.0,features
178,515.0,volunteer,volunteer,2.0,1.0,features
179,518.0,volunteer,volunteer,68.0,9.0,nonfunctional
180,522.0,volunteer,volunteer,2.0,1.0,perfective
181,524.0,volunteer,volunteer,2.0,1.0,perfective
182,524.0,volunteer,volunteer,4.0,2.0,perfective
183,525.0,volunteer,volunteer,2.0,1.0,features
184,525.0,volunteer,volunteer,41.0,2.0,perfective
185,526.0,volunteer,volunteer,35.0,7.0,perfective
186,527.0,volunteer,volunteer,31.0,2.0,features
187,529.0,volunteer,volunteer,11.0,2.0,features
188,530.0,volunteer,volunteer,2.0,1.0,perfective
189,532.0,volunteer,volunteer,40.0,1.0,perfective
190,533.0,volunteer,volunteer,2.0,1.0,perfective
191,534.0,volunteer,volunteer,2.0,1.0,features
192,536.0,volunteer,volunteer,2.0,1.0,perfective
193,538.0,volunteer,volunteer,33.0,2.0,corrective
194,540.0,paid,ferrous-systems,2.0,1.0,perfective
195,540.0,paid,ferrous-systems,2.0,1.0,corrective
196,541.0,volunteer,volunteer,7.0,1.0,features
197,541.0,volunteer,volunteer,5.0,1.0,corrective
198,542.0,paid,microsoft,10.0,1.0,features
199,543.0,volunteer,volunteer,24.0,1.0,perfective
200,547.0,volunteer,volunteer,4.0,2.0,corrective
201,547.0,volunteer,volunteer,2.0,1.0,corrective
202,558.0,volunteer,volunteer,20.0,2.0,perfective
203,562.0,volunteer,volunteer,1.0,1.0,perfective
204,563.0,volunteer,volunteer,6.0,1.0,perfective
205,564.0,volunteer,volunteer,2.0,1.0,perfective
206,564.0,volunteer,volunteer,2.0,1.0,perfective
207,569.0,volunteer,volunteer,2.0,1.0,perfective
208,572.0,volunteer,volunteer,54.0,4.0,features
209,573.0,volunteer,volunteer,42.0,2.0,features
210,574.0,volunteer,volunteer,9.0,3.0,perfective
211,574.0,volunteer,volunteer,30.0,4.0,features
212,576.0,volunteer,volunteer,24.0,1.0,corrective
213,577.0,volunteer,volunteer,45.0,4.0,perfective
